country_code,date,holiday_name
NL,1892-06-05,Whit Sunday
FR,1892-06-06,Whit Monday
IE,1892-06-06,Whit Monday
IM,1892-06-06,Whit Monday
NL,1892-06-06,Whit Monday
BO,1892-06-16,Corpus Christi
PT,1892-06-16,Corpus Christi
FI,1892-06-23,Midsummer Eve
FI,1892-06-24,Midsummer Day
VE,1892-06-24,Battle of Carabobo
CA,1892-07-01,Dominion Day
US,1892-07-04,Independence Day
IM,1892-07-05,Tynwald Day
VE,1892-07-05,Independence Day
BR,1892-07-14,Freedom and Independence of American Peoples
FR,1892-07-14,National Day
CH,1892-08-01,National Day
IE,1892-08-01,August Bank Holiday
BO,1892-08-06,Independence Day
FR,1892-08-15,Assumption Day
PT,1892-08-15,Assumption Day
NL,1892-08-31,Queen's Day
BR,1892-09-07,Independence Day
BR,1892-10-12,Discovery of America
FI,1892-11-01,All Saints' Day
FR,1892-11-01,All Saints' Day
PT,1892-11-01,All Saints' Day
BR,1892-11-02,All Souls' Day
BR,1892-11-15,Republic Proclamation Day
US,1892-11-24,Thanksgiving Day
PT,1892-12-01,Restoration of Independence Day
PT,1892-12-08,Immaculate Conception
FI,1892-12-24,Christmas Eve
VE,1892-12-24,Christmas Eve
AU,1892-12-25,Christmas Day
BO,1892-12-25,Christmas Day
CA,1892-12-25,Christmas Day
CH,1892-12-25,Christmas Day
FI,1892-12-25,Christmas Day
FR,1892-12-25,Christmas Day
GB,1892-12-25,Christmas Day
IE,1892-12-25,Christmas Day
IM,1892-12-25,Christmas Day
NL,1892-12-25,Christmas Day
PT,1892-12-25,Christmas Day
US,1892-12-25,Christmas Day
VE,1892-12-25,Christmas Day
AU,1892-12-26,Boxing Day
CA,1892-12-26,Christmas Day (observed)
FI,1892-12-26,Second Day of Christmas
GB,1892-12-26,Boxing Day
IE,1892-12-26,Saint Stephen's Day
IM,1892-12-26,Boxing Day
NL,1892-12-26,Second Day of Christmas
US,1892-12-26,Christmas Day (observed)
GB,1892-12-27,Christmas Day (observed)
IM,1892-12-27,Christmas Day (observed)
VE,1892-12-31,New Year's Eve
AU,1893-01-01,New Year's Day
BO,1893-01-01,New Year's Day
BR,1893-01-01,Universal Fraternization Day
CA,1893-01-01,New Year's Day
CH,1893-01-01,New Year's Day
FI,1893-01-01,New Year's Day
FR,1893-01-01,New Year's Day
NL,1893-01-01,New Year's Day
PT,1893-01-01,New Year's Day
US,1893-01-01,New Year's Day
VE,1893-01-01,New Year's Day
CA,1893-01-02,New Year's Day (observed)
US,1893-01-02,New Year's Day (observed)
FI,1893-01-06,Epiphany
BO,1893-02-13,Carnival
VE,1893-02-13,Monday of Carnival
BO,1893-02-14,Carnival
VE,1893-02-14,Tuesday of Carnival
US,1893-02-22,Washington's Birthday
BR,1893-02-24,Republic Constitution Day
VE,1893-03-30,Maundy Thursday
AU,1893-03-31,Good Friday
BO,1893-03-31,Good Friday
BR,1893-03-31,Good Friday
CA,1893-03-31,Good Friday
FI,1893-03-31,Good Friday
GB,1893-03-31,Good Friday
IM,1893-03-31,Good Friday
PT,1893-03-31,Good Friday
VE,1893-03-31,Good Friday
FI,1893-04-02,Easter Sunday
NL,1893-04-02,Easter Sunday
PT,1893-04-02,Easter Sunday
AU,1893-04-03,Easter Monday
FI,1893-04-03,Easter Monday
FR,1893-04-03,Easter Monday
IE,1893-04-03,Easter Monday
IM,1893-04-03,Easter Monday
NL,1893-04-03,Easter Monday
VE,1893-04-19,Declaration of Independence
